scene,method,t,scalar_topology_equal,source_leaf_count,output_leaf_count,hierarchy_legal
translation,TMTM,0,True,3,3,True
translation,TMTM,1,True,3,3,True
translation,TMTM,2,True,3,3,True
translation,TMTM,3,True,3,3,True
translation,TMTM,4,True,3,3,True
translation,TMTM,5,True,3,3,True
translation,TMTM,6,True,3,3,True
translation,TMTM,7,True,3,3,True
translation,TMTM,8,True,3,3,True
translation,TMTM,9,True,3,3,True
translation,TMTM,10,True,3,3,True
translation,TMTM,11,True,3,3,True
translation,TMTM,12,True,3,3,True
translation,TMTM,13,True,3,3,True
translation,TMTM,14,True,3,3,True
translation,TMTM,15,True,3,3,True
translation,TMTM,16,True,3,3,True
translation,TMTM,17,True,3,3,True
translation,TMTM,18,True,3,3,True
translation,TMTM,19,True,3,3,True
translation,TMTM,20,True,3,3,True
translation,ST-MTM,0,True,3,3,True
translation,ST-MTM,1,True,3,3,True
translation,ST-MTM,2,True,3,3,True
translation,ST-MTM,3,True,3,3,True
translation,ST-MTM,4,True,3,3,True
translation,ST-MTM,5,True,3,3,True
translation,ST-MTM,6,True,3,3,True
translation,ST-MTM,7,True,3,3,True
translation,ST-MTM,8,True,3,3,True
translation,ST-MTM,9,True,3,3,True
translation,ST-MTM,10,True,3,3,True
translation,ST-MTM,11,True,3,3,True
translation,ST-MTM,12,True,3,3,True
translation,ST-MTM,13,True,3,3,True
translation,ST-MTM,14,True,3,3,True
translation,ST-MTM,15,True,3,3,True
translation,ST-MTM,16,True,3,3,True
translation,ST-MTM,17,True,3,3,True
translation,ST-MTM,18,True,3,3,True
translation,ST-MTM,19,True,3,3,True
translation,ST-MTM,20,True,3,3,True
translation,RA-MTM,0,True,3,3,True
translation,RA-MTM,1,True,3,3,True
translation,RA-MTM,2,True,3,3,True
translation,RA-MTM,3,True,3,3,True
translation,RA-MTM,4,True,3,3,True
translation,RA-MTM,5,True,3,3,True
translation,RA-MTM,6,True,3,3,True
translation,RA-MTM,7,True,3,3,True
translation,RA-MTM,8,True,3,3,True
translation,RA-MTM,9,True,3,3,True
translation,RA-MTM,10,True,3,3,True
translation,RA-MTM,11,True,3,3,True
translation,RA-MTM,12,True,3,3,True
translation,RA-MTM,13,True,3,3,True
translation,RA-MTM,14,True,3,3,True
translation,RA-MTM,15,True,3,3,True
